service_date,route_short,gated_entries
2020-07-18,Orange,21976.38
2020-07-18,Red,22656.02
2020-07-19,Blue,11094.1
2020-07-19,Green,6636.42
2020-07-19,Orange,15821.61
2020-07-19,Red,16262.27
2020-07-20,Blue,16733.1
2020-07-20,Green,10485.71
2020-07-20,Orange,29967.1
2020-07-20,Red,33255.29
2020-07-21,Blue,18203.5
2020-07-21,Green,11615.68
2020-07-21,Orange,32068.08
2020-07-21,Red,35782.94
2020-07-22,Blue,17884.3
2020-07-22,Green,11609.75
2020-07-22,Orange,32104.76
2020-07-22,Red,36538.79
2020-07-23,Blue,17522.7
2020-07-23,Green,11232.62
2020-07-23,Orange,31444.0
2020-07-23,Red,35084.58
2020-07-24,Blue,19228.5
2020-07-24,Green,13082.3
2020-07-24,Orange,34142.15
2020-07-24,Red,37496.05
2020-07-25,Blue,15185.3
2020-07-25,Green,10266.56
2020-07-25,Orange,23939.93
2020-07-25,Red,23700.61
2020-07-26,Blue,11696.9
2020-07-26,Green,7108.85
2020-07-26,Orange,17001.45
2020-07-26,Red,18265.8
2020-07-27,Blue,16925.1
2020-07-27,Green,10708.09
2020-07-27,Orange,30836.2
2020-07-27,Red,34117.41
2020-07-28,Blue,17897.5
2020-07-28,Green,11140.18
2020-07-28,Orange,31770.45
2020-07-28,Red,35328.17
2020-07-29,Blue,18677.2
2020-07-29,Green,12039.06
2020-07-29,Orange,33747.59
2020-07-29,Red,37334.25
2020-07-30,Blue,18332.3
2020-07-30,Green,12331.28
2020-07-30,Orange,32738.75
2020-07-30,Red,36114.77
2020-07-31,Blue,19592.3
2020-07-31,Green,13430.95
2020-07-31,Orange,35773.74
2020-07-31,Red,38344.21
2020-08-01,Blue,3143.7
2020-08-01,Green,12241.58
2020-08-01,Orange,24387.92
2020-08-01,Red,25694.5
2020-08-02,Blue,1367.7
2020-08-02,Green,9055.46
2020-08-02,Orange,17581.87
2020-08-02,Red,18300.47
2020-08-03,Blue,17907.4
2020-08-03,Green,12400.86
2020-08-03,Orange,34197.59
2020-08-03,Red,36210.35
2020-08-04,Blue,17073.7
2020-08-04,Green,11694.86
2020-08-04,Orange,32499.76
2020-08-04,Red,34490.58
2020-08-05,Blue,19000.5
2020-08-05,Green,12835.76
2020-08-05,Orange,35019.8
2020-08-05,Red,38253.34
2020-08-06,Blue,19435.5
2020-08-06,Green,12831.04
2020-08-06,Orange,34895.7
2020-08-06,Red,38627.66
2020-08-07,Blue,19338.5
2020-08-07,Green,13320.65
2020-08-07,Orange,35265.63
2020-08-07,Red,38902.82
2020-08-08,Blue,1244.6
2020-08-08,Green,11449.35
2020-08-08,Orange,24150.23
2020-08-08,Red,26296.62
2020-08-09,Blue,446.8
2020-08-09,Green,9143.26
2020-08-09,Orange,18367.5
2020-08-09,Red,19157.24
2020-08-10,Blue,17504.0
2020-08-10,Green,11885.79
2020-08-10,Orange,32573.27
2020-08-10,Red,37196.34
2020-08-11,Blue,18347.8
2020-08-11,Green,12525.39
2020-08-11,Orange,33392.98
2020-08-11,Red,38068.73
2020-08-12,Blue,18427.2
